title,price,address,area,bedrooms,bathrooms,parking,stratum,property_type,operation,amenities,contact,property_url,images,administration,bodega,cocina,conservation_state,construction_age,construction_year,deposit,elevator,finish_quality,floor,interior_exterior,location_quality,loft,mezanine,price_per_m2,property_code,study_room,terrace_area,walking_closet
"Apartamento en venta en montevideo, bogotá",$ 569.000.000,,65 m²,,2.0,,,Apartamento,VENTA,Ascensor; Balcón; Piscina; Gimnasio; Vigilancia; Estudio; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-montevideo-bogota/193130268,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6924b16e2d562_infocdn__gr1011251820250916044139jpeg.jpeg,,False,True,4,,,False,True,4,,,5,False,False,8753846.15,193130268,True,,False
"Apartamento en venta en montevideo, bogotá",$ 569.000.000,,65 m²,,2.0,,,Apartamento,VENTA,Ascensor; Balcón; Piscina; Gimnasio; Vigilancia; Estudio; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-montevideo-bogota/193130268,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6924b16e2d562_infocdn__gr1011251820250916044139jpeg.jpeg,,False,True,4,,,False,True,4,,,5,False,False,8753846.15,193130268,True,,False
,$ 569.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Apartamento en venta en san martin, bogotá",$ 430.000.000,,25 m²,,2.0,,,Apartamento,VENTA,Ascensor; Gimnasio; Parqueadero; Depósito; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-san-martin-bogota/193147755,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6929dc3b20d89_infocdn__bejoa9djlf-g33ffe8npq5enlkazxps-xx6vmcdjf5mspqzqpp7inekktexdvrll4akalsmj4exhhlgheletpbryyhjiyclkiacr2iznkhah.jpeg,,False,True,4,,,True,True,4,7,,5,False,False,17200000.0,193147755,False,,False
"Apartamento en venta en san martin, bogotá",$ 430.000.000,,25 m²,,2.0,,,Apartamento,VENTA,Ascensor; Gimnasio; Parqueadero; Depósito; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-san-martin-bogota/193147755,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6929dc3b20d89_infocdn__bejoa9djlf-g33ffe8npq5enlkazxps-xx6vmcdjf5mspqzqpp7inekktexdvrll4akalsmj4exhhlgheletpbryyhjiyclkiacr2iznkhah.jpeg,,False,True,4,,,True,True,4,7,,5,False,False,17200000.0,193147755,False,,False
,$ 430.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Apartamento en venta en cedritos, bogotá",$ 460.000.000,,1 m²,3,2.0,1,,Apartamento,VENTA,Balcón; Parqueadero; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/193132383,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69251ce9838ab_infocdn__sjeb4eswijpgz7gok6mnyuswis1h7s4mzeaxq5oypng.png,,False,False,4,37,,False,False,4,,I,5,False,False,460000000.0,193132383,False,,False
"Apartamento en venta en cedritos, bogotá",$ 460.000.000,,1 m²,3,2.0,1,,Apartamento,VENTA,Balcón; Parqueadero; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/193132383,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69251ce9838ab_infocdn__sjeb4eswijpgz7gok6mnyuswis1h7s4mzeaxq5oypng.png,,False,False,4,37,,False,False,4,,I,5,False,False,460000000.0,193132383,False,,False
,$ 460.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Apartamento en venta en cedritos, bogotá",$ 760.000.000,,137 m²,5,4.0,,,Apartamento,VENTA,Balcón; Parqueadero; Depósito; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/193126797,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69220b637294c_infocdn__iiaqfymni2iblt7hbqwrlqacmgcqu1biczzi1bfqjpg.jpg,,False,True,4,13,,True,False,4,,,5,False,False,5547445.26,193126797,True,,False
