address,operation,area_habitable,terrace,area_total,administration,bedrooms,bathrooms,parking,walking_closet,loft,study_room,floor,deposit,terrace_area,construction_age,interior_exterior,elevator,finish_quality,conservation_state,location_quality,stratum,observations,contact_method,contact_info,pricing,price_per_m2,total_price_per_m2,admin_per_m2
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
"Apartamento en venta en cedritos, bogotá",VENTA,86.0,False,0.0,0.0,3,2.0,0,False,False,False,0,0,0.0,4,I,True,4,4,5,0,,,,"{""area"": 86.0, ""price_per_m2"": 7906976.74, ""total_area"": 86.0, ""total_price_per_m2"": 7906976.74, ""admin_per_m2"": 0.0}",7906976.74,7906976.74,0.0
"Apartamento en venta en cedritos, bogotá",VENTA,86.0,False,0.0,0.0,3,2.0,0,False,False,False,0,0,0.0,4,I,True,4,4,5,0,,,,"{""area"": 86.0, ""price_per_m2"": 7906976.74, ""total_area"": 86.0, ""total_price_per_m2"": 7906976.74, ""admin_per_m2"": 0.0}",7906976.74,7906976.74,0.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
"Apartamento en venta en lisboa usaquén, bogotá",VENTA,85.0,True,0.0,765.0,2,2.0,2,False,False,True,2,0,0.0,0,E,False,4,4,5,0,,,,"{""area"": 85.0, ""price_per_m2"": 9011764.71, ""total_area"": 85.0, ""total_price_per_m2"": 9011764.71, ""admin_per_m2"": 9.0}",9011764.71,9011764.71,9.0
"Apartamento en venta en lisboa usaquén, bogotá",VENTA,85.0,True,0.0,765.0,2,2.0,2,False,False,True,2,0,0.0,0,E,False,4,4,5,0,,,,"{""area"": 85.0, ""price_per_m2"": 9011764.71, ""total_area"": 85.0, ""total_price_per_m2"": 9011764.71, ""admin_per_m2"": 9.0}",9011764.71,9011764.71,9.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
"Apartamento en venta en cedro narvaez, bogotá",VENTA,1.0,False,0.0,0.0,0,1.0,1,False,False,False,0,0,0.0,15,I,True,4,4,5,0,,,,"{""area"": 1.0, ""price_per_m2"": 362975318.0, ""total_area"": 1.0, ""total_price_per_m2"": 362975318.0, ""admin_per_m2"": 0.0}",362975318.0,362975318.0,0.0
"Apartamento en venta en cedro narvaez, bogotá",VENTA,1.0,False,0.0,0.0,0,1.0,1,False,False,False,0,0,0.0,15,I,True,4,4,5,0,,,,"{""area"": 1.0, ""price_per_m2"": 362975318.0, ""total_area"": 1.0, ""total_price_per_m2"": 362975318.0, ""admin_per_m2"": 0.0}",362975318.0,362975318.0,0.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
"Casa en venta en colina campestre, bogotá",VENTA,170.0,True,0.0,0.0,0,4.0,0,False,False,True,3,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 170.0, ""price_per_m2"": 5647058.82, ""total_area"": 170.0, ""total_price_per_m2"": 5647058.82, ""admin_per_m2"": 0.0}",5647058.82,5647058.82,0.0
"Casa en venta en colina campestre, bogotá",VENTA,170.0,True,0.0,0.0,0,4.0,0,False,False,True,3,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 170.0, ""price_per_m2"": 5647058.82, ""total_area"": 170.0, ""total_price_per_m2"": 5647058.82, ""admin_per_m2"": 0.0}",5647058.82,5647058.82,0.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
"Apartamento en venta en cedro golf, bogotá",VENTA,112.0,False,0.0,0.0,0,4.0,0,False,False,True,0,0,0.0,16,E,True,4,4,5,0,,,,"{""area"": 112.0, ""price_per_m2"": 6071428.57, ""total_area"": 112.0, ""total_price_per_m2"": 6071428.57, ""admin_per_m2"": 0.0}",6071428.57,6071428.57,0.0
"Apartamento en venta en cedro golf, bogotá",VENTA,112.0,False,0.0,0.0,0,4.0,0,False,False,True,0,0,0.0,16,E,True,4,4,5,0,,,,"{""area"": 112.0, ""price_per_m2"": 6071428.57, ""total_area"": 112.0, ""total_price_per_m2"": 6071428.57, ""admin_per_m2"": 0.0}",6071428.57,6071428.57,0.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
"Apartamento en venta en chapinero alto, bogotá",ARRIENDO,56.0,True,0.0,0.0,0,3.0,0,False,False,False,0,0,0.0,0,I,True,4,4,5,0,,,,"{""area"": 56.0, ""price_per_m2"": 10000000.0, ""total_area"": 56.0, ""total_price_per_m2"": 10000000.0, ""admin_per_m2"": 0.0}",10000000.0,10000000.0,0.0
"Apartamento en venta en chapinero alto, bogotá",ARRIENDO,56.0,True,0.0,0.0,0,3.0,0,False,False,False,0,0,0.0,0,I,True,4,4,5,0,,,,"{""area"": 56.0, ""price_per_m2"": 10000000.0, ""total_area"": 56.0, ""total_price_per_m2"": 10000000.0, ""admin_per_m2"": 0.0}",10000000.0,10000000.0,0.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
